tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
69068526,1196.01,PC,5.5376617,2459785.498161,2.517
92677094,1197.01,PC,4.5960377,2459787.132209,4.744
203189770,1198.01,KP,3.612771,2460551.040398,4.142
99869022,1199.01,CP,3.6714717,2460360.434669,2.149
394137592,120.01,CP,11.535076,2458332.082805,8.555958
288185138,1200.01,FP,0.8352406,2460365.995576,1.043
29960110,1201.01,CP,2.4919771,2458411.670877,1.4338141
23434737,1203.01,CP,25.5195307,2458553.062116,6.6877451
467666275,1204.01,PC,1.3812115,2458569.940999,2.7372191
110428269,1138.01,FP,0.64971,2458684.20504,2.076
202563254,1139.01,PC,4.4780798,2460549.445856,4.513
25155310,114.01,KP,3.2887898,2458327.519958,3.4367717
320525204,1140.01,FP,13.7431084,2460637.861679,2.285
159510109,1141.01,FP,16.9487087,2460289.874408,4.2887767
284450803,1142.01,FP,3.3686634,2460335.937572,3.012
160268701,1143.01,FP,11.2071839,2460352.734057,4.366
28230919,1144.01,KP,4.8878037,2460554.347022,2.184
350995812,1145.01,FP,2.97164,2458685.81643,1.534
21755546,1146.01,FP,0.660179,2459420.415267,1.6349369
288391628,1147.01,FP,10.9278415,2460331.315598,2.468
349827430,1148.01,KP,5.5514888,2460361.366521,4.335
281541555,115.01,KP,4.7423709,2458329.903155,2.4988145
16740101,1150.01,KP,1.4810903,2458683.457596,4.1588291
69679391,1151.01,KP,3.4741012,2460337.986375,3.317
237184773,1152.01,FA,6.5011911,2459392.715052,5.5463587
459970307,1154.01,PC,21.745537,2460339.328709,4.196
161450762,1155.01,FP,1.32003,2458683.92594,3.175
117256577,1156.01,FP,1.6865822,2459443.850453,2.429
147576037,1157.01,FP,13.0727479,2459603.765773,3.044
379931600,1158.01,FP,2.9258727,2459446.175877,4.075
48188920,1159.01,FP,0.73774,2458683.94707,0.636
238176110,116.01,KP,2.7985802,2458326.688916,2.3801043
89510024,1160.01,FP,2.3664127,2459446.146751,2.591
158324245,1161.01,KP,1.7635881,2460556.484069,3.092
13419950,1162.01,PC,7.3166682,2460544.815606,3.255
375542276,1163.01,PC,3.0771612,2459441.801256,2.6914319
16102323,1164.01,FP,3.2077145,2459822.312844,2.708
458478250,1165.01,KP,2.2552845,2460352.823449,2.05
